interval_start_timestamp,new_members,pct_retained
2021-06-02T00:00:00+00:00,47,6.382978723404255
2021-06-03T00:00:00+00:00,11,9.090909090909092
2021-06-04T00:00:00+00:00,21,19.047619047619047
2021-06-05T00:00:00+00:00,14,28.57142857142857
2021-06-06T00:00:00+00:00,34,17.647058823529417
2021-06-07T00:00:00+00:00,60,13.333333333333336
2021-06-08T00:00:00+00:00,15,33.333333333333336
2021-06-09T00:00:00+00:00,24,41.66666666666666
2021-06-10T00:00:00+00:00,20,25
2021-06-11T00:00:00+00:00,16,31.25
2021-06-12T00:00:00+00:00,75,6.666666666666668
2021-06-13T00:00:00+00:00,15,20
2021-06-14T00:00:00+00:00,20,35
2021-06-15T00:00:00+00:00,21,33.333333333333336
2021-06-16T00:00:00+00:00,29,17.241379310344826
2021-06-17T00:00:00+00:00,19,15.789473684210524
2021-06-18T00:00:00+00:00,26,26.923076923076927
2021-06-19T00:00:00+00:00,17,47.058823529411775
2021-06-20T00:00:00+00:00,12,41.66666666666666
2021-06-21T00:00:00+00:00,20,35
2021-06-22T00:00:00+00:00,24,25
2021-06-23T00:00:00+00:00,24,20.83333333333333
2021-06-24T00:00:00+00:00,26,26.923076923076927
2021-06-25T00:00:00+00:00,15,53.33333333333334
2021-06-26T00:00:00+00:00,7,28.57142857142857
2021-06-27T00:00:00+00:00,116,1.7241379310344829
2021-06-28T00:00:00+00:00,49,4.081632653061225
2021-06-29T00:00:00+00:00,20,25
2021-06-30T00:00:00+00:00,17,23.529411764705888
2021-07-01T00:00:00+00:00,94,8.51063829787234
2021-07-02T00:00:00+00:00,57,7.0175438596491215
2021-07-03T00:00:00+00:00,19,15.789473684210524
2021-07-04T00:00:00+00:00,17,23.529411764705888
2021-07-05T00:00:00+00:00,82,7.317073170731708
2021-07-06T00:00:00+00:00,49,26.530612244897963
2021-07-07T00:00:00+00:00,45,33.333333333333336
2021-07-08T00:00:00+00:00,45,31.11111111111111
2021-07-09T00:00:00+00:00,42,23.809523809523807
2021-07-10T00:00:00+00:00,29,34.48275862068965
2021-07-11T00:00:00+00:00,44,20.454545454545453
2021-07-12T00:00:00+00:00,169,31.952662721893486
2021-07-13T00:00:00+00:00,132,28.03030303030303
2021-07-14T00:00:00+00:00,118,17.796610169491522
2021-07-15T00:00:00+00:00,67,38.805970149253724
2021-07-16T00:00:00+00:00,53,22.641509433962263
2021-07-17T00:00:00+00:00,43,37.2093023255814
2021-07-18T00:00:00+00:00,31,32.25806451612903
2021-07-19T00:00:00+00:00,40,37.5
2021-07-20T00:00:00+00:00,38,23.684210526315788
2021-07-21T00:00:00+00:00,333,6.906906906906907
2021-07-22T00:00:00+00:00,39,41.02564102564103
2021-07-23T00:00:00+00:00,66,36.36363636363637
2021-07-24T00:00:00+00:00,59,33.898305084745765
2021-07-25T00:00:00+00:00,144,11.111111111111114
2021-07-26T00:00:00+00:00,31,38.70967741935485
2021-07-27T00:00:00+00:00,44,25
2021-07-28T00:00:00+00:00,73,9.58904109589041
2021-07-29T00:00:00+00:00,70,14.285714285714285
2021-07-30T00:00:00+00:00,28,25
2021-07-31T00:00:00+00:00,28,10.714285714285714
2021-08-01T00:00:00+00:00,24,20.83333333333333
2021-08-02T00:00:00+00:00,87,10.344827586206897
2021-08-03T00:00:00+00:00,22,13.636363636363635
2021-08-04T00:00:00+00:00,81,8.641975308641975
2021-08-05T00:00:00+00:00,85,4.705882352941177
2021-08-06T00:00:00+00:00,39,23.07692307692308
2021-08-07T00:00:00+00:00,33,15.151515151515152
2021-08-08T00:00:00+00:00,39,5.128205128205129
2021-08-09T00:00:00+00:00,74,18.918918918918923
